"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.no","Stage","Egg.hatch","Development.time","Temp","Development.remarks","Length","Width","Max.length","Max.width","n","Size.reported.as","Shape","Asexual","Sex","Size.remarks","Author","Year","Journal","Volume","Pages"
"Abbreviata antarctica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata antarctica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata antarctica","Abbreviata","nematode","Teleogryllus oceanicus",1,"1larv",NA,25.5,28,NA,1.6,NA,2.4,NA,NA,"range","thread-like",NA,NA,NA,"King et al.","2013","J. Parasitol.","99","708-711"
"Abbreviata antarctica","Abbreviata","nematode",NA,2,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata caucasica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0375,0.03,0.04,0.035,NA,"range","ellipsoid",NA,NA,"additional 'gelatinous deposit' around the egg","Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata caucasica","Abbreviata","nematode","Blatella germanica",1,"1larv",NA,55,20,"Physaloptera caucasica now?; achieve third stage sometime between 40 and 55 dpe",1.7,0.085,NA,NA,1,"point","thread-like",NA,NA,"capsule size: 560 x 360","Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Schistocerca gregaria",1,"1larv",NA,11,30,"Physaloptera caucasica now?...developed worse in cockroaches (>50 days), but kept at lower temp",2.75,0.155,3.7,0.26,3,"range","thread-like",NA,NA,"max size from 50 dpe, mean from 11 dpe","Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,40,2.5,50,3,NA,"range","thread-like",NA,"m",NA,"Leiper","1908","Trans. R. Soc. Trop. Med. Hyg.","1","76-82"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,47.5,2.5,55,3,NA,"range","thread-like",NA,"f",NA,"Leiper","1908","Trans. R. Soc. Trop. Med. Hyg.","1","76-82"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,19,NA,24,NA,NA,"range","thread-like",NA,"m","cites Schulz 1926; might be synonomous with Physaloptera mordens, which is bigger","Ortlepp","1926","J. Helminthol.","4","199-202"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens",2,"adult",NA,NA,NA,NA,24,NA,NA,NA,NA,"point","thread-like",NA,"f","cites Schulz 1926; might be synonomous with Physaloptera mordens, which is bigger","Ortlepp","1926","J. Helminthol.","4","199-202"
"Abbreviata kazachstanica","Abbreviata","nematode",NA,0,"egg","eaten",NA,NA,NA,0.06025,0.044,0.066,NA,NA,"range","ellipsoid",NA,NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviata kazachstanica","Abbreviata","nematode","Orthoptera",1,"1larv",NA,21.5,NA,"molt 13-15 dpi to L3 at ~2 mm but continue growing and not considered infective yet",7.4,0.175,11.15,0.19,NA,"range","thread-like",NA,NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Coeloptera",1,"1larv",NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
