"","hosts","hostclean","group"
"1","Arnoglossus laterna","Arnoglossus laterna","Teleostei"
"2","Blennius pavo","Salaria pavo","Teleostei"
"3","Crenilabrus griseus","Crenilabrus griseus",NA
"4","Crenilabrus ocellatus","Symphodus ocellatus","Teleostei"
"5","Crenilabrus tinca","Symphodus tinca","Teleostei"
"6","Gaidropsaurus mediterraneus","Gaidropsaurus mediterraneus",NA
"7","Gobius cobitis","Gobius cobitis","Teleostei"
"8","Mesogobius batrachocephalus","Mesogobius batrachocephalus","Teleostei"
"9","Neogobius fluviatilis","Neogobius fluviatilis","Teleostei"
"10","Neogobius melanostomus","Neogobius melanostomus","Teleostei"
"11","Platichthys flesus","Platichthys flesus","Teleostei"
"12","Proterorhinus marmoratus","Proterorhinus marmoratus","Teleostei"
"13","Scorpaena porcus","Scorpaena porcus","Teleostei"
"14","Scorpaena scrofa","Scorpaena scrofa","Teleostei"
"15","Squalus blainvillei","Squalus blainville","Chondrichthyes"
"16","Syngnathus typhle","Syngnathus typhle","Teleostei"
"17","Trachurus mediterraneus","Trachurus mediterraneus","Teleostei"
"18","Zosterisessor ophiocephalus","Zosterisessor ophiocephalus","Teleostei"
"19","Solea nasuta","Pegusa lascaris","Teleostei"
"20","Solea vulgaris","Solea solea","Teleostei"
"21","Anguilla anguilla","Anguilla anguilla","Teleostei"
"22","Caprella acutifrons","Caprella acutifrons",NA
"23","Conger conger","Conger conger","Teleostei"
"24","Dentex dentex","Dentex dentex","Teleostei"
"25","Dicologoglossa cuneata","Dicologlossa cuneata","Teleostei"
"26","Eutrigla gurnardus","Eutrigla gurnardus","Teleostei"
"27","Gobius aphya","Gobius aphya",NA
"28","Gobius bucchichi","Gobius bucchichi","Teleostei"
"29","Gobius cruentatus","Gobius cruentatus","Teleostei"
"30","Gobius niger","Gobius niger","Teleostei"
"31","Gobius ophiocephalus","Zosterisessor ophiocephalus","Teleostei"
"32","Gobius paganellus","Gobius paganellus","Teleostei"
"33","Lesueurigobius friesii","Lesueurigobius friesii","Teleostei"
"34","Merluccius merluccius","Merluccius merluccius","Teleostei"
"35","Mustelus mustelus","Mustelus mustelus","Chondrichthyes"
"36","Neogobius cephalarges","Neogobius melanostomus","Teleostei"
"37","Neogobius niger","Neogobius niger",NA
"38","Neogobius ratan","Neogobius ratan","Teleostei"
"39","Neogobius syrman","Neogobius syrman","Teleostei"
"40","Pleuronectes linguatula","Citharus linguatula","Teleostei"
"41","Proterorhynus marmoratus","Proterorhynus marmoratus",NA
"42","Sciaena umbra","Sciaena umbra","Teleostei"
"43","Uranoscopus scaber","Uranoscopus scaber","Teleostei"
"44","Capoeta capoeta","Capoeta capoeta","Teleostei"
"45","Schizothorax intermedius","Schizopyge curvifrons","Teleostei"
"46","Varicorhinus sevangi","Varicorhinus sevangi",NA
"47","Notophthalmus viridescens","Notophthalmus viridescens","Amphibia"
"48","Oncorhynchus keta","Oncorhynchus keta","Teleostei"
"49","Oncorhynchus masu","Oncorhynchus masu",NA
"50","Oncorhynchus nerka","Oncorhynchus nerka","Teleostei"
"51","Parahucho perryi","Parahucho perryi","Teleostei"
"52","Salvelinus malma","Salvelinus malma","Teleostei"
"53","Abramis ballerus","Abramis ballerus","Teleostei"
"54","Abramis bjoerkna","Blicca bjoerkna","Teleostei"
"55","Abramis brama","Abramis brama","Teleostei"
"56","Abramis sapa","Abramis sapa","Teleostei"
"57","Acerina cernua","Gymnocephalus cernuus","Teleostei"
"58","Acerina schraetser","Acerina schraetser",NA
"59","Acipenser gueldenstaedti","Acipenser gueldenstaedtii","Chondrostei"
"60","Acipenser ruthenus","Acipenser ruthenus","Chondrostei"
"61","Alburnoides bipunctatus","Alburnoides bipunctatus","Teleostei"
"62","Alburnus alburnus","Alburnus alburnus","Teleostei"
"63","Asellus aquaticus","Asellus aquaticus","Malacostraca"
"64","Barbatula barbatulus","Barbatula barbatulus",NA
"65","Barbus barbus","Barbus barbus","Teleostei"
"66","Barbus petenyi","Barbus petenyi",NA
"67","Barbus tybernus","Barbus tybernus",NA
"68","Blicca bjoerkna","Blicca bjoerkna","Teleostei"
"69","Carassius auratus","Carassius auratus","Teleostei"
"70","Carassius carassius","Carassius carassius","Teleostei"
"71","Chondrostoma nasus","Chondrostoma nasus","Teleostei"
"72","Chondrostoma soetta","Chondrostoma soetta","Teleostei"
"73","Cobitis taenia","Cobitis taenia","Teleostei"
"74","Cyprinus carpio","Cyprinus carpio","Teleostei"
"75","Esox lucius","Esox lucius","Teleostei"
"76","Gambusia affinis","Gambusia affinis","Teleostei"
"77","Gasterosteus aculeatus","Gasterosteus aculeatus","Teleostei"
"78","Gobio gobio","Gobio gobio","Teleostei"
"79","Gymnocephalus cernuus","Gymnocephalus cernuus","Teleostei"
"80","Gymnocephalus schraetser","Gymnocephalus schraetser","Teleostei"
"81","Leuciscus cephalus","Leuciscus cephalus","Teleostei"
"82","Leuciscus idus","Leuciscus idus","Teleostei"
"83","Leuciscus leuciscus","Leuciscus leuciscus","Teleostei"
"84","Lota lota","Lota lota","Teleostei"
"85","Lucioperca lucioperca","Lucioperca lucioperca",NA
"86","Lutra lutra","Lutra lutra","Mammalia"
"87","Misgurnus fossilis","Misgurnus fossilis","Teleostei"
"88","Nemachilus barbatulus","Nemachilus barbatulus",NA
"89","Oncorhynchus mykiss","Oncorhynchus mykiss","Teleostei"
"90","Pelecus cultratus","Pelecus cultratus","Teleostei"
"91","Perca fluviatilis","Perca fluviatilis","Teleostei"
"92","Phoxinus phoxinus","Phoxinus phoxinus","Teleostei"
"93","Pleuronectes flesus","Platichthys flesus","Teleostei"
"94","Pomatoschistus minutus","Pomatoschistus minutus","Teleostei"
"95","Pungitius pungitius","Pungitius pungitius","Teleostei"
"96","Rutilus frisii","Rutilus frisii","Teleostei"
"97","Rutilus pigus","Rutilus pigus","Teleostei"
"98","Rutilus rutilus","Toxorhynchites rutilus","Insecta"
"99","Rutilus rutilus/Abramis","Diplochaetus rutilus","Insecta"
"100","Salmo trutta","Salmo trutta","Teleostei"
"101","Salvelinus alpinus","Salvelinus alpinus","Teleostei"
"102","Scardinius erythrophthalmus","Scardinius erythrophthalmus","Teleostei"
"103","Silurus glanis","Silurus glanis","Teleostei"
"104","Stizostedion lucioperca","Sander lucioperca","Teleostei"
"105","Thymallus thymallus","Thymallus thymallus","Teleostei"
"106","Tinca tinca","Tinca tinca","Teleostei"
"107","Vimba vimba","Vimba vimba","Teleostei"
"108","Zingel streber","Zingel streber","Teleostei"
"109","Zingel zingel","Zingel zingel","Teleostei"
"110","Asellus meridianus","Asellus meridionalis","Malacostraca"
"111","Coregonus lavaretus","Coregonus lavaretus","Teleostei"
"112","Cottus gobio","Cottus gobio","Teleostei"
"113","Echinogammarus pungens","Echinogammarus pungens",NA
"114","Echinogammarus stammeri","Echinogammarus stammeri",NA
"115","Gadus morhua","Gadus morhua","Teleostei"
"116","Alosa pseudoharengus","Alosa pseudoharengus","Teleostei"
"117","Ambloplites rupestris","Ambloplites rupestris","Teleostei"
"118","Amia calva","Amia calva","Holostei"
"119","Anguilla rostrata","Anguilla rostrata","Teleostei"
"120","Aplodinotus grunniens","Aplodinotus grunniens","Teleostei"
"121","Aplodinotus simer","Teleostei","Teleostei"
"122","Asellus intermedius","Caecidotea intermedia","Malacostraca"
"123","Campostoma anomalum","Campostoma anomalum","Teleostei"
"124","Carpiodes velifer","Carpiodes velifer","Teleostei"
"125","Catostomus commersoni","Catostomus commersonii","Teleostei"
"126","Cichlasoma urophthalmus","Cichlasoma urophthalma","Teleostei"
"127","Coregonus clupeaformis","Coregonus clupeaformis","Teleostei"
"128","Cottus bairdi","Cottus bairdii","Teleostei"
"129","Cottus cognatus","Cottus cognatus","Teleostei"
"130","Cristivomer namaycush","Cristivomer namaycush",NA
"131","Ericymba buccata","Notropis buccatus","Teleostei"
"132","Erimyzon sucetta","Erimyzon sucetta","Teleostei"
