"","hosts","hostclean","group"
"1","10593","10593",NA
"2","4571","4571",NA
"3","4573","4573",NA
"4","4576","4576",NA
"5","5900","5900",NA
"6","7015","7015",NA
"7","6115","6115",NA
"8","2233","2233",NA
"9","6122","6122",NA
"10","1467","1467",NA
"11","1048","1048",NA
"12","5529","5529",NA
"13","936","936",NA
"14","1128","1128",NA
"15","2716","2716",NA
"16","2991","2991",NA
"17","4424","4424",NA
"18","5540","5540",NA
"19","5987","5987",NA
"20","6574","6574",NA
"21","6575","6575",NA
"22","6706","6706",NA
"23","8311","8311",NA
"24","8573","8573",NA
"25","9089","9089",NA
"26","9260","9260",NA
"27","10672","10672",NA
"28","11174","11174",NA
"29","11302","11302",NA
"30","11523","11523",NA
"31","1926","1926",NA
"32","5798","5798",NA
"33","6816","6816",NA
"34","6937","6937",NA
"35","789","789",NA
"36","5796","5796",NA
"37","5108","5108",NA
"38","3928","3928",NA
"39","11732","11732",NA
"40","4400","4400",NA
"41","6170","6170",NA
"42","5089","5089",NA
"43","8381","8381",NA
"44","5657","5657",NA
"45","8327","8327",NA
"46","11575","11575",NA
"47","11737","11737",NA
"48","1737","1737",NA
"49","240","240",NA
"50","8724","8724",NA
"51","9554","9554",NA
"52","6450","6450",NA
"53","9818","9818",NA
"54","9826","9826",NA
"55","1893","1893",NA
"56","1895","1895",NA
"57","2742","2742",NA
"58","2744","2744",NA
"59","3958","3958",NA
"60","7633","7633",NA
"61","7786","7786",NA
"62","9337","9337",NA
"63","9830","9830",NA
"64","9836","9836",NA
"65","7483","7483",NA
"66","193","193",NA
"67","11395","11395",NA
"68","4363","4363",NA
"69","8727","8727",NA
"70","528","528",NA
"71","9324","9324",NA
"72","3636","3636",NA
"73","2068","2068",NA
"74","2268","2268",NA
"75","7440","7440",NA
"76","7450","7450",NA
"77","7985","7985",NA
"78","5940","5940",NA
"79","4703","4703",NA
"80","6717","6717",NA
"81","8320","8320",NA
"82","5941","5941",NA
"83","5942","5942",NA
"84","8331","8331",NA
"85","5944","5944",NA
"86","8624","8624",NA
"87","1132","1132",NA
"88","1133","1133",NA
"89","1134","1134",NA
"90","1136","1136",NA
"91","1137","1137",NA
"92","5277","5277",NA
"93","6555","6555",NA
"94","3983","3983",NA
"95","8484","8484",NA
"96","1135","1135",NA
"97","875","875",NA
"98","2953","2953",NA
"99","3503","3503",NA
"100","4569","4569",NA
"101","4817","4817",NA
"102","5204","5204",NA
"103","6129","6129",NA
"104","6968","6968",NA
"105","7448","7448",NA
"106","7451","7451",NA
"107","5768","5768",NA
"108","7984","7984",NA
"109","8142","8142",NA
"110","4429","4429",NA
"111","6751","6751",NA
"112","7310","7310",NA
"113","7811","7811",NA
"114","7812","7812",NA
"115","973","973",NA
"116","974","974",NA
"117","975","975",NA
"118","1424","1424",NA
"119","3504","3504",NA
"120","5860","5860",NA
"121","6274","6274",NA
"122","6419","6419",NA
"123","6420","6420",NA
"124","6818","6818",NA
"125","6819","6819",NA
"126","7442","7442",NA
"127","7445","7445",NA
"128","7449","7449",NA
"129","7452","7452",NA
"130","7454","7454",NA
"131","7907","7907",NA
"132","7910","7910",NA
"133","8772","8772",NA
"134","8993","8993",NA
"135","9171","9171",NA
"136","9387","9387",NA
"137","9412","9412",NA
"138","11303","11303",NA
"139","11304","11304",NA
"140","11305","11305",NA
"141","11306","11306",NA
"142","11307","11307",NA
"143","11308","11308",NA
"144","11310","11310",NA
"145","11311","11311",NA
"146","11741","11741",NA
"147","4085","4085",NA
"148","4584","4584",NA
"149","6275","6275",NA
"150","6967","6967",NA
"151","7436","7436",NA
"152","7453","7453",NA
"153","7617","7617",NA
"154","7908","7908",NA
"155","8682","8682",NA
"156","8890","8890",NA
"157","9080","9080",NA
"158","9385","9385",NA
"159","9256","9256",NA
"160","10648","10648",NA
"161","2142","2142",NA
"162","2212","2212",NA
"163","5654","5654",NA
"164","10980","10980",NA
"165","3669","3669",NA
"166","2269","2269",NA
"167","8771","8771",NA
"168","11309","11309",NA
"169","6755","6755",NA
"170","8321","8321",NA
"171","6942","6942",NA
"172","7500","7500",NA
"173","9539","9539",NA
"174","11338","11338",NA
"175","2181","2181",NA
"176","7366","7366",NA
"177","11167","11167",NA
"178","2514","2514",NA
"179","1429","1429",NA
"180","4070","4070",NA
"181","2343","2343",NA
"182","9900","9900",NA
"183","10721","10721",NA
"184","9123","9123",NA
"185","1279","1279",NA
"186","3602","3602",NA
"187","1790","1790",NA
"188","1812","1812",NA
"189","1813","1813",NA
"190","9239","9239",NA
"191","2547","2547",NA
"192","8703","8703",NA
"193","10710","10710",NA
"194","921","921",NA
"195","11081","11081",NA
"196","3763","3763",NA
"197","10712","10712",NA
"198","8806","8806",NA
"199","4475","4475",NA
"200","3603","3603",NA
"201","8167","8167",NA
"202","8803","8803",NA
"203","9227","9227",NA
"204","3077","3077",NA
"205","6964","6964",NA
"206","9410","9410",NA
"207","8076","8076",NA
"208","4580","4580",NA
"209","2937","2937",NA
"210","3141","3141",NA
"211","3143","3143",NA
"212","3146","3146",NA
"213","9229","9229",NA
"214","9230","9230",NA
"215","9233","9233",NA
"216","9833","9833",NA
"217","9114","9114",NA
"218","9287","9287",NA
"219","5455","5455",NA
"220","11318","11318",NA
"221","10006","10006",NA
"222","9936","9936",NA
"223","9017","9017",NA
"224","4513","4513",NA
"225","8385","8385",NA
"226","3295","3295",NA
"227","3904","3904",NA
"228","10108","10108",NA
"229","10109","10109",NA
"230","10114","10114",NA
"231","1389","1389",NA
"232","3265","3265",NA
"233","3953","3953",NA
"234","4776","4776",NA
"235","5058","5058",NA
"236","6270","6270",NA
"237","9562","9562",NA
"238","3671","3671",NA
"239","4278","4278",NA
"240","4655","4655",NA
"241","5660","5660",NA
"242","7122","7122",NA
"243","4273","4273",NA
"244","4937","4937",NA
"245","7554","7554",NA
"246","505","505",NA
"247","506","506",NA
"248","1477","1477",NA
"249","4276","4276",NA
"250","4279","4279",NA
"251","4532","4532",NA
"252","5059","5059",NA
"253","5818","5818",NA
"254","5978","5978",NA
"255","6152","6152",NA
"256","6417","6417",NA
"257","6732","6732",NA
"258","6741","6741",NA
"259","7629","7629",NA
"260","8618","8618",NA
"261","8776","8776",NA
"262","2743","2743",NA
"263","4368","4368",NA
"264","10438","10438",NA
"265","1054","1054",NA
"266","3480","3480",NA
"267","4291","4291",NA
"268","4293","4293",NA
"269","7636","7636",NA
"270","8141","8141",NA
"271","8232","8232",NA
