"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","MSW93_Order","MSW93_Family","MSW93_Genus","MSW93_Species","MSW93_Binomial","X14.1_InterBirthInterval_d","X26.4_GR_MRLat_dd","X26.7_GR_MRLong_dd"
"1","Artiodactyla","Camelidae","Camelus","dromedarius","Camelus dromedarius",3,492714.47,-999,-999,-999,1651.62,40293,407000,3,-999,386.51,1,196.32,-999,614.41,0.98,1,480,36751.19,-999,0.98,11,1947.94,10,-999,1,1,389.38,-999,-999,"511;543;719;1274;1297;1594;1654;1822;1848;2655;3044",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA
"2","Carnivora","Canidae","Canis","adustus","Canis adustus",1,10392.49,-999,745.32,-999,-999,-999,-999,6,329.99,65,1,1.01,1.01,-999,4.5,-999,137,-999,-999,0.74,-999,249.88,-999,8,1,2,52.89,-999,-999,"542;543;730;1113;1297;1573;2655",-999,-999,-999,-999,10581413.14,16.72,-28.73,-6,43.55,-17.53,13,0,35.2,1,0.14,90.75,236.51,922.9,1534.4,NA,NA,NA,NA,NA,NA,NA,NA
"3","Carnivora","Canidae","Canis","aureus","Canis aureus",2,9658.7,-999,827.53,7.5,-999,-999,-999,6,-999,61.24,1,2.95,3.13,365,3.74,-999,192,211.82,-999,0.22,-999,371.23,-999,8,1,2,61.3,-999,-999,"543;679;730;1113;1297;1573;2655",-999,1.1,-999,-999,25739527.43,47,-4.71,21.14,108.54,-17.05,45.74,0,79.29,0,0.1,44.61,217.23,438.02,1358.98,NA,NA,NA,NA,NA,NA,NA,NA
"4","Carnivora","Canidae","Canis","latrans","Canis latrans",2,11989.1,-999,872.39,11.94,365,3699,10450,1,255,61.74,1,18.88,19.91,365,5.72,-999,262,200.01,-999,0.25,-999,372.9,-999,8,1,3,43.71,-999,-999,"367;542;543;730;1113;1297;1573;1822;2655",-999,1.1,-999,-999,17099094.3,71.39,8.02,39.7,-67.07,-168.12,-117.6,0,27.27,0,0.06,53.03,58.18,503.02,728.37,NA,NA,NA,NA,NA,NA,NA,NA
"5","Carnivora","Canidae","Canis","lupus","Canis lupus",2,31756.51,-999,1055,14.01,547.5,11254.2,33100,1,180,63.5,1,159.86,43.13,365,4.98,2,354,412.31,-999,0.01,-999,679.37,-999,9,1,3,44.82,-999,-999,"367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655",-999,-999,-999,-999,50803439.7,83.27,11.48,47.38,179.65,-171.84,3.9,0,37.87,0,0.04,34.79,4.82,313.33,561.11,NA,NA,NA,NA,NA,NA,NA,NA
"6","Artiodactyla","Bovidae","Bos","frontalis","Bos frontalis",2,800143.05,-999,2700,-999,-999,-999,-999,3,-999,273.75,-999,-999,-999,403.02,1.22,1,314.4,22977.05,-999,0.54,-999,610.97,40,-999,-999,1,186.67,-999,-999,"511;543;730;899;1297;1525;1848;2655;2986",-999,-999,-999,-999,2294331.63,28.01,2.86,15.43,108.68,73.55,91.12,1,152.67,8,0.09,145.21,229.71,1053.45,1483.02,NA,NA,NA,NA,NA,NA,NA,NA
"7","Artiodactyla","Bovidae","Bos","grunniens","Bos grunniens",-999,5e+05,-999,-999,-999,-999,-999,-999,2,-999,273.75,-999,-999,-999,-999,1,1,267,-999,-999,-999,-999,755.15,110,-999,-999,1,243.33,-999,-999,"511;899;1297;1525;1848;2655",-999,-999,-999,-999,1523540.07,38.88,29.66,34.27,99.23,75.91,87.57,0,2.03,0,0.05,30.41,-59.31,246.2,732.74,NA,NA,NA,NA,NA,NA,NA,NA
"8","Artiodactyla","Bovidae","Bos","javanicus","Bos javanicus",2,635974.34,-999,2075,-999,912.5,-999,-999,2,-999,296.78,1,-999,-999,-999,1.22,1,318.96,-999,-999,0.75,21,797.31,40,-999,1,1,287.74,-999,-999,"511;730;899;1297;1525;1848;2152;2655",-999,-999,-999,-999,1687920.66,25.08,-8.78,8.15,118.35,94.94,106.64,1,139.21,4,0.11,187.69,239.18,1301.28,1592.26,NA,NA,NA,NA,NA,NA,NA,NA
"9","Primates","Pitheciidae","Callicebus","cupreus","Callicebus cupreus",3,1117.02,-999,354.99,-999,-999,-999,-999,-999,-999,129.25,1,-999,-999,395.41,1.01,-999,-999,73.6,-999,4.89,-999,-999,2.05,-999,2,-999,201.85,-999,-999,"1544;1547;1605;1633;1848;2151;2251;2344;2655;2986",-999,1.05,-999,-999,690923.14,-2.5,-10.67,-6.58,-61.59,-74.92,-68.25,0,1.07,0,0.05,196.01,255.36,1529.55,1573.18,NA,NA,NA,NA,NA,NA,NA,NA
"10","Primates","Pitheciidae","Callicebus","discolor","Callicebus discolor",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA
"11","Primates","Pitheciidae","Callicebus","donacophilus","Callicebus donacophilus",3,897.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1.02,-999,-999,-999,-999,-999,-999,-999,1,-999,2,-999,-999,-999,-999,"1547;1605;1633;2151;2655",-999,-999,-999,-999,288759.02,-10.45,-21.29,-15.87,-57.52,-67.21,-62.37,0,3.63,0,0.17,108.93,244.32,1238.19,1469.11,NA,NA,NA,NA,NA,NA,NA,NA
"12","Primates","Pitheciidae","Callicebus","dubius","Callicebus dubius",3,992.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1.02,-999,-999,-999,-999,-999,-999,-999,1,-999,2,-999,-999,-999,-999,"1605;1633;2151;2655",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA
"13","Primates","Pitheciidae","Callicebus","hoffmannsi","Callicebus hoffmannsi",3,1067.61,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1.02,-999,-999,-999,-999,-999,-999,-999,1,-999,2,-999,-999,-999,-999,"1547;1605;1633;2151;2655",-999,-999,-999,-999,98076.46,-1.95,-6,-3.97,-54.87,-59.21,-57.04,0,2.6,0,0.1,158.41,258.18,1417.63,1610.4,NA,NA,NA,NA,NA,NA,NA,NA
