"","Parasite","genus","year","hs","first"
"1","Acanthocephaloides incrassatus","Acanthocephaloides",1858,14,"not the first"
"2","Acanthocephaloides propinquus","Acanthocephaloides",1845,23,"first"
"7","Acanthogyrus lizae","Acanthogyrus",1988,2,"not the first"
"8","Neoechinorhynchus agilis","Neoechinorhynchus",1819,6,"not the first"
"11","Rhadinorhynchus pristis","Rhadinorhynchus",1802,26,"first"
"12","Telosentis exiguus","Telosentis",1901,18,"first"
"13","Acanthogyrus malawiensis","Acanthogyrus",1999,1,"not the first"
"14","Acanthogyrus tilapiae","Acanthogyrus",1948,23,"not the first"
"32","Eocollis arcanus","Eocollis",1947,5,"first"
"34","Eocollis catostomi","Eocollis",1992,2,"not the first"
"36","Leptorhynchoides aphredoderi","Leptorhynchoides",1976,2,"not the first"
"38","Acanthocephalus rauschi","Acanthocephalus",1969,1,"not the first"
"39","Arhythmorhynchus comptus","Arhythmorhynchus",1950,1,"not the first"
"40","Corynosoma clavatum","Corynosoma",1940,7,"not the first"
"42","Corynosoma semerme","Corynosoma",1904,26,"not the first"
"46","Corynosoma strumosum","Corynosoma",1802,78,"first"
"55","Corynosoma validum","Corynosoma",1953,10,"not the first"
"59","Corynosoma villosum","Corynosoma",1953,13,"not the first"
"61","Polymorphus minutus","Polymorphus",1800,26,"not the first"
"62","Corynosoma constrictum","Corynosoma",1918,17,"not the first"
"64","Echinorhynchus gadi","Echinorhynchus",1776,122,"first"
"67","Echinorhynchus salmonis","Echinorhynchus",1784,58,"not the first"
"78","Mediorhynchus robustus","Mediorhynchus",1916,5,"not the first"
"79","Neoechinorhynchus cristatus","Neoechinorhynchus",1936,5,"not the first"
"81","Neoechinorhynchus rutili","Neoechinorhynchus",1780,84,"first"
"82","Neoechinorhynchus strigosus","Neoechinorhynchus",1949,5,"not the first"
"85","Polymorphus marilis","Polymorphus",1939,4,"not the first"
"90","Polymorphus paradoxus","Polymorphus",1957,5,"not the first"
"92","Pomphorhynchus bulbocolli","Pomphorhynchus",1919,58,"not the first"
"99","Southwellina sacra","Southwellina",2002,1,"not the first"
"100","Andracantha baylisi","Andracantha",1986,4,"not the first"
"108","Andracantha clavata","Andracantha",1940,2,"not the first"
"117","Bolbosoma balaenae","Bolbosoma",1790,8,"first"
"125","Bolbosoma brevicolle","Bolbosoma",1867,6,"not the first"
"132","Bolbosoma hamiltoni","Bolbosoma",1929,3,"not the first"
"134","Bolbosoma physeteris","Bolbosoma",1952,2,"not the first"
"136","Bolbosoma tuberculata","Bolbosoma",1970,4,"not the first"
"140","Bolbosoma turbinella","Bolbosoma",NA,9,"not the first"
"143","Bolbosoma turbinella","Bolbosoma",1972,9,"not the first"
"145","Corynosoma arctocephali","Corynosoma",1984,16,"not the first"
"167","Corynosoma australe","Corynosoma",1937,22,"not the first"
"173","Corynosoma bullosum","Corynosoma",1892,34,"not the first"
"232","Corynosoma evae","Corynosoma",1984,5,"not the first"
"238","Corynosoma hamanni","Corynosoma",1892,24,"not the first"
"289","Corynosoma hannae","Corynosoma",1984,1,"not the first"
"290","Corynosoma mirabilis","Corynosoma",1966,1,"not the first"
"291","Corynosoma pseudohamanni","Corynosoma",1984,24,"not the first"
"339","Corynosoma shackletoni","Corynosoma",1978,8,"not the first"
"351","Corynosoma singularis","Corynosoma",1971,2,"not the first"
"353","Echinorhynchus debenhami","Echinorhynchus",1914,3,"not the first"
"354","Echinorhynchus muraenolepisi","Echinorhynchus",1984,1,"not the first"
"355","Echinorhynchus petrotschenkoi","Echinorhynchus",1984,10,"not the first"
"368","Heterosentis heteracanthus","Heterosentis",1896,6,"first"
"379","Heterosentis magellanicus","Heterosentis",1950,2,"not the first"
"380","Hypoechinorhynchus magellanicus","Hypoechinorhynchus",1950,1,"not the first"
"381","Metacanthocephalus campbelli","Metacanthocephalus",1914,9,"first"
"397","Metacanthocephalus dalmori","Metacanthocephalus",1983,20,"not the first"
"429","Metacanthocephalus johnstoni","Metacanthocephalus",1983,11,"not the first"
"457","Metacanthocephalus rennicki","Metacanthocephalus",1914,4,"first"
"465","Metechinorhynchus muraenolepisi","Metechinorhynchus",1884,1,"not the first"
"466","Profilicollis antarcticus","Profilicollis",1985,3,"not the first"
"467","Acanthocephalus alabamensis","Acanthocephalus",NA,1,"not the first"
"468","Andracantha gravida","Andracantha",1941,4,"not the first"
"469","Floridosentis mugilis","Floridosentis",1951,3,"first"
"470","Hexaglandula corynsoma","Hexaglandula",1915,3,"not the first"
"471","Moniliformis moniliformis","Moniliformis",1819,27,"first"
"473","Plagiorhynchus crassicolle","Plagiorhynchus",1875,1,"not the first"
"474","Acanthosentis arii","Acanthosentis",1974,0,"not the first"
"476","Bolbosoma vasculosum","Bolbosoma",1819,27,"not the first"
"477","Centrorhynchus betharidae","Centrorhynchus",1987,1,"not the first"
"478","Echinorhynchus meyeri","Echinorhynchus",1984,1,"not the first"
"479","Echinorhynchus veli","Echinorhynchus",1978,0,"not the first"
"480","Euzetacanthus chorinemusi","Euzetacanthus",1986,0,"not the first"
"481","Filisoma inglisi","Filisoma",1986,0,"not the first"
"482","Hexaglandula ariusis","Hexaglandula",1974,0,"not the first"
"484","Hexaglandula karachiensis","Hexaglandula",1974,0,"not the first"
"486","Longicollum indicum","Longicollum",1971,0,"not the first"
"487","Longicollum psettodensai","Longicollum",1979,1,"not the first"
"488","Longicollum quiloni","Longicollum",1986,0,"not the first"
"489","Metarhadinorhynchus echeneisi","Metarhadinorhynchus",1991,1,"not the first"
"490","Metarhadinorhynchus valiyathurae","Metarhadinorhynchus",1990,2,"not the first"
"493","Neoechinorhynchus johni","Neoechinorhynchus",1971,0,"not the first"
"494","Neoechinorhynchus johnii","Neoechinorhynchus",1939,1,"not the first"
"495","Neorhadinorhynchus nudus","Neorhadinorhynchus",1938,5,"first"
"496","Pallisentis clupei","Pallisentis",1979,0,"not the first"
"497","Paracanthocephaloides plotosi","Paracanthocephaloides",1935,1,"first"
"498","Pseudorhadinorhynchus cinereus","Pseudorhadinorhynchus",1983,1,"not the first"
"501","Pseudorhadinorhynchus cochinensis","Pseudorhadinorhynchus",1984,1,"not the first"
"502","Pseudorhadinorhynchus dussumieri","Pseudorhadinorhynchus",1972,0,"not the first"
