"","Parasite","genus","year","hs","first"
"1","Acanthocephaloides geneticus","Acanthocephaloides",1985,1,"not the first"
"2","Acanthocephaloides incrassatus","Acanthocephaloides",1858,17,"not the first"
"19","Acanthocephaloides kostylewi","Acanthocephaloides",1932,2,"not the first"
"21","Acanthocephaloides propinquus","Acanthocephaloides",1845,29,"first"
"52","Acanthocephalorhynchoides cholodkowskyi","Acanthocephalorhynchoides",1928,3,"first"
"55","Acanthocephalus aculeatus","Acanthocephalus",1931,6,"not the first"
"61","Acanthocephalus anguillae","Acanthocephalus",1780,58,"not the first"
"126","Acanthocephalus clavula","Acanthocephalus",1845,22,"not the first"
"148","Acanthocephalus dirus","Acanthocephalus",1931,60,"not the first"
"211","Acanthocephalus gracilacanthus","Acanthocephalus",1932,1,"not the first"
"212","Acanthocephalus haranti","Acanthocephalus",1969,2,"not the first"
"214","Acanthocephalus hastae","Acanthocephalus",1944,1,"not the first"
"215","Acanthocephalus kashmirensis","Acanthocephalus",1936,2,"not the first"
"217","Acanthocephalus lucidus","Acanthocephalus",1925,8,"not the first"
"225","Acanthocephalus lucii","Acanthocephalus",1777,61,"first"
"290","Acanthocephalus minor","Acanthocephalus",1935,7,"not the first"
"297","Acanthocephalus opsariichthydis","Acanthocephalus",1935,15,"not the first"
"312","Acanthocephalus rauschi","Acanthocephalus",1969,1,"not the first"
"313","Paracanthocephalus rauschi","Paracanthocephalus",1969,1,"not the first"
"314","Acanthocephalus tahlequahensis","Acanthocephalus",1976,3,"not the first"
"317","Allorhadinorhynchus segmentatus","Allorhadinorhynchus",1959,1,"exclude"
"318","Andracantha mergi","Andracantha",1942,8,"not the first"
"326","Andracantha phalacrocoracis","Andracantha",1939,5,"not the first"
"332","Arhythmacanthus paraplagusiarum","Arhythmacanthus",1972,1,"not the first"
"333","Arhythmacanthus septacanthus","Arhythmacanthus",1949,3,"first"
"336","Atactorhynchus mugilis","Atactorhynchus",1951,1,"not the first"
"337","Atactorhynchus verecundus","Atactorhynchus",1937,2,"first"
"339","Breizacanthus chabaudi","Breizacanthus",1969,1,"first"
"340","Breizacanthus irenae","Breizacanthus",1969,2,"first"
"342","Breizacanthus ligur","Breizacanthus",1975,6,"not the first"
"348","Cavisoma magnum","Cavisoma",1927,2,"exclude"
"350","Centrorhynchus aluconis","Centrorhynchus",1780,15,"first"
"365","Centrorhynchus clitorideum","Centrorhynchus",1931,2,"not the first"
"367","Centrorhynchus horridus","Centrorhynchus",1897,3,"not the first"
"370","Centrorhynchus sinicus","Centrorhynchus",1966,2,"not the first"
"372","Cleaveius prashadi","Cleaveius",1940,1,"first"
"373","Corynosoma anatarium","Corynosoma",1945,2,"not the first"
"375","Corynosoma clavatum","Corynosoma",1940,12,"not the first"
"387","Corynosoma constrictum","Corynosoma",1918,19,"not the first"
"408","Corynosoma enhydri","Corynosoma",1940,2,"not the first"
"410","Corynosoma pyriforme","Corynosoma",1819,1,"not the first"
"411","Corynosoma semerme","Corynosoma",1904,39,"not the first"
"454","Corynosoma strumosum","Corynosoma",1802,103,"first"
"564","Diplosentis amphacanthi","Diplosentis",1937,2,"first"
"566","Dollfusentis bravoae","Dollfusentis",1976,1,"not the first"
"567","Dollfusentis chandleri","Dollfusentis",1969,31,"not the first"
"598","Echinorhynchus abyssicola","Echinorhynchus",1931,1,"not the first"
"599","Echinorhynchus alpinus","Echinorhynchus",1901,1,"not the first"
"600","Echinorhynchus armoricanus","Echinorhynchus",1969,2,"not the first"
"602","Echinorhynchus calloti","Echinorhynchus",1969,1,"not the first"
"603","Echinorhynchus cestodicola","Echinorhynchus",1905,1,"not the first"
"604","Echinorhynchus cinctulus","Echinorhynchus",1905,2,"not the first"
"606","Echinorhynchus cinctus","Echinorhynchus",1819,2,"not the first"
