"","nameparse","yearone","hosts"
"2","Abbreviata (Abbreviata)",1936,NA
"3","Abbreviata (Polydelphyoptera)",1934,NA
"4","Abbreviata achari",1976,3
"5","Abbreviata africana",1959,NA
"6","Abbreviata amaniensis",1948,1
"7","Abbreviata anomala",1966,4
"8","Abbreviata archari",2009,NA
"9","Abbreviata benoiti",1967,NA
"10","Abbreviata borneensis",1960,NA
"11","Abbreviata caucasica",1926,2
"12","Abbreviata costaricae",2003,NA
"13","Abbreviata damarensis",1986,1
"14","Abbreviata deschiensi",2003,NA
"15","Abbreviata hastaspicula",1967,10
"16","Abbreviata heterocephala",2005,NA
"17","Abbreviata kolayatensis",1976,3
"18","Abbreviata madagascariensis",1989,NA
"19","Abbreviata olgopapillata",2005,NA
"20","Abbreviata oligopapillata",2002,NA
"21","Abbreviata ologopapillata",2003,NA
"22","Abbreviata ortleppi",1971,1
"23","Abbreviata paradoxa",1949,2
"24","Abbreviata polydentata",1948,1
"25","Abbreviata sonsinoi",1955,NA
"26","Abbreviata sp.",1906,NA
"27","Abbreviata terrapenis",1920,5
"28","Abbreviata terripenis",1965,NA
"29","Abbreviata timidocapitis",1966,NA
"30","Abbreviata varani",1926,4
"31","Aberrapex manjajiae",2002,NA
"32","Aberrapex senticosus",1996,1
"33","Aberrapex weipaensis",2004,NA
"34","Abothrium crassum",1927,NA
"35","Abothrium crassus",1894,NA
"36","Abothrium gadi",1941,6
"37","Abothrium rugosum",1906,NA
"38","Abothrium sp.",1906,NA
"39","Absonifibula bychowskii",1970,NA
"40","Acanthatrium (Acanthatrium)",1975,NA
"41","Acanthatrium alicatai",1930,1
"42","Acanthatrium amphidymum",1956,1
"43","Acanthatrium anaplocamense",1957,NA
"44","Acanthatrium beuschleini",1957,2
"45","Acanthatrium eptesici",1931,9
"46","Acanthatrium fugleri",1975,NA
"47","Acanthatrium jonesi",1954,NA
"48","Acanthatrium lunatum",1956,2
"49","Acanthatrium macyi",1954,1
"50","Acanthatrium microcanthum",1936,1
"51","Acanthatrium nycteridis",1918,6
"52","Acanthatrium oligacanthum",1956,7
"53","Acanthatrium oregonense",1938,4
"54","Acanthatrium pipistrelli",1934,8
"55","Acanthatrium setoense",1972,2
"56","Acanthatrium sogandaresi",1953,1
"57","Acanthatrium sp.",1993,NA
"58","Acanthatrium taiwanense",1958,NA
"59","Acanthatrium umbraculati",1968,NA
"60","Acanthobothrium amazonensis",1976,2
"61","Acanthobothrium americanum",1967,1
"62","Acanthobothrium asnihae",2003,NA
"63","Acanthobothrium bajaensis",1971,1
"64","Acanthobothrium bobconnorum",1999,NA
"65","Acanthobothrium brachyacanthum",1948,2
"66","Acanthobothrium brevissime",1906,6
"67","Acanthobothrium bullardi",1993,1
"68","Acanthobothrium cairae",1981,NA
"69","Acanthobothrium cartagenensis",1976,1
"70","Acanthobothrium cleofanus",1994,1
"71","Acanthobothrium colombianum",1976,1
"72","Acanthobothrium coronatum",1916,10
"73","Acanthobothrium dasi",1993,1
"74","Acanthobothrium dollyae",1996,1
"75","Acanthobothrium electricolum",1976,1
"76","Acanthobothrium etini",2003,NA
"77","Acanthobothrium floridensis",1963,5
"78","Acanthobothrium fogeli",1963,1
"79","Acanthobothrium foulki",2002,1
"80","Acanthobothrium franus",1996,1
"81","Acanthobothrium gnomus",2002,NA
"82","Acanthobothrium goldsteini",1972,1
"83","Acanthobothrium gracile",1914,1
"84","Acanthobothrium himanturi",1975,1
"85","Acanthobothrium hispidum",1948,1
"86","Acanthobothrium hypermekkolpas",1999,NA
"87","Acanthobothrium inbiorium",1996,1
"88","Acanthobothrium jeanneae",1999,NA
"89","Acanthobothrium larsoni",2002,NA
"90","Acanthobothrium lentiginosum",1994,NA
"91","Acanthobothrium lepidum",2002,NA
"92","Acanthobothrium lineatum",1967,1
"93","Acanthobothrium lintoni",1976,1
"94","Acanthobothrium maculatum",1948,1
"95","Acanthobothrium margieae",2005,NA
"96","Acanthobothrium marplatensis",1994,1
"97","Acanthobothrium maryanskii",1996,1
"98","Acanthobothrium marymichaelorum",2002,NA
"99","Acanthobothrium masnihae",2003,NA
"100","Acanthobothrium matttaylori",1999,NA
"101","Acanthobothrium nanogravidum",2003,NA
"102","Acanthobothrium nicoyaense",1992,1
"103","Acanthobothrium oceanharvestae",1999,NA
"104","Acanthobothrium olseni",1994,2
"105","Acanthobothrium parviuncinatum",1950,2
"106","Acanthobothrium paulum",1903,3
"107","Acanthobothrium peruviense",2001,NA
"108","Acanthobothrium popi",1999,NA
"109","Acanthobothrium quinonesi",1976,2
"110","Acanthobothrium rajivi",1993,1
"111","Acanthobothrium ramiroi",2002,NA
"112","Acanthobothrium regoi",1978,3
"113","Acanthobothrium rodmani",1999,NA
"114","Acanthobothrium romanowi",1999,NA
"115","Acanthobothrium royi",1996,1
"116","Acanthobothrium saliki",2003,NA
"117","Acanthobothrium schalli",1994,NA
"118","Acanthobothrium soberoni",1993,1
"119","Acanthobothrium sp.",1895,NA
"120","Acanthobothrium tasajerasi",1975,2
"121","Acanthobothrium tetabuanense",2003,NA
"122","Acanthobothrium tortum",1969,1
"123","Acanthobothrium ulmeri",1994,NA
"124","Acanthobothrium urolophi",1970,2
"125","Acanthobothrium urotrygoni",1976,2
"126","Acanthobothrium virginae",1967,NA
"127","Acanthobothrium westi",1994,NA
